,Question
93851,"""The Scribe of the Revolution"""
65047,"Willa Cather's ""My Antonia"", ""O Pioneers!"" & ""A Lost Lady"" are set on the frontier in this midwestern state"
197536,"""In the middle of the journey of our life I came to myself within a dark wood"""
129244,...with the most Es
212750,"The trout stream in ""The Sun Also Rises"" is above the village of Burguete in this mountain range"
62073,"This martial art whose name means ""The Way of Softness"" was developed from jujitsu"
129670,"Found on maps, it's technically called a representative fraction and more commonly this"
93402,"""Dawn's Family Feud"" is No. 64 in this book series"
180831,"The fur really flew in this 1996 movie remake that inspired the doll seen <a href=""http://www.j-archive.com/media/2005-05-26_J_23.jpg"" target=""_blank"">here</a>"
11045,Nobel Prize winner Patrick White was noted for using this technique where thoughts flow freely & at random
190362,It's the church founded by Rev. Sun Myung Moon
139858,In football it's a substitute offensive play called by the quarterback as an adjustment to a defense
145377,"Of the $539 billion of U.S. currency in circulation worldwide in July 2000, over $364 billion was in this denomination"
10317,One's tax burden can be lowered by exploiting these
146222,This pitted fruit of the Olea europaea tree lends its name to a shade of green
125896,"A veep: ""Nixon's Nixon"""
120105,Was victorious
7422,"""Amorous"" name of a 2-handled wine vessel or sporting trophy"
188433,"Nicknamed El Niño, this Spaniard started playing golf at age 3 & became club champ at 12"
206357,"On the fourth day of Hanukkah, my true love gave to me / These spud pancakes from her bubbie"
50504,"A ""Master of Your Domain"" episode aired, but a script too hot even for this '90s sitcom is hidden on the DVD"
156077,"(<a href=""http://www.j-archive.com/media/2010-10-04_J_29.jpg"" target=""_blank"">Ken Burns reads the clue.</a>)  He learned to hit lefty so he could be 2 steps closer to first base, & the Prime Minister of Japan once said he ""makes me proud to be Japanese"""
149364,"The Hertzberg Circus Collection in San Antonio includes memorabilia of this 19th C. little ""general"""
116612,Impossible to read because of poor handwriting
110167,"This actor, seen <a href=""http://www.j-archive.com/media/2010-12-28_J_24.jpg"" target=""_blank"">here</a> was part of <i>The A-Team</i>"
112905,"Albert II, who succeeded Baudoin I as king of this country, had been expected to refuse the throne"
20826,"The Rio's Masquerade Village has 3 sections: Rio, Venice & this Mardi Gras city"
200193,Sir Walter Scott
60298,Gene Simmons' band & the cosmetics they might wear
65123,Howling Mad Murdock could fly anything from a crop duster to a 747 for this title group
81931,"A garment worn by a child, perhaps aboard an operatic ship"
94189,A vague idea for any country
138742,"This Irish film director based ""The Crying Game"" on one of his own short stories"
175810,"A city ""Uz""ing culture, Samarkand in this former Soviet republic is the site of Tamerlane's tomb"
210993,"Jack Warden played Sgt. Welsh in the 1964 film of this James Jones novel, Sean Penn in the 1998 remake"
165846,"October 27, 2001 & another sea of red, seen here"
130180,"This ""Gossip"" gal made the Billboard charts by pairing with Garrett Hedlund on ""Give In To Me"""
137050,"The candy once marketed as ""Mrs. Stover's Bungalow Candies"" is sold under this brand name today"
129495,"Sinhala, Xhosa, Novial"
166293,There's a streaked variety of this bulb flower named for Rembrandt
136991,"I got chills... they're multiplyin'... 'cause I stepped in this rendered fat of animals, also a lubricant... this is the word"
75554,This 2003 film spawned a craze for clown fish in home aquariums
184713,It's the tallest of all land quadrupeds
86231,This rodent's quills are missing from the underside of the female's tail (fortunately for the male)
170483,"It's the brand of activewear & dancewear for women, whose logo is seen <a href=""http://www.j-archive.com/media/2005-03-10_DJ_29.jpg"" target=""_blank"">here</a>"
181419,"This character actor was the voice of Snidely Whiplash on ""The Dudley Do-Right Show"""
12727,The Who earned an entry in this book with a 120-decibel concert performance
66676,This state capital was once called Louisbourg
70547,"Driving the Thrust SSC, Andy Green broke the land-speed record going 763 mph at Black Rock Desert in this state"
71440,People who illegally copy software or DVDs
53356,In July 2010 a video posted on a blog forced Shirley Sherrod to quit this cabinet dept.-- then she got lots of apologies
111037,"As Shrek, this actor is told that his donkey talks, & says, ""Yeah, it's getting him to shut up that's the trick"""
156129,"This ""Daddy"" & ""Zoya"" writer's first 6 romance novels were originally published in paperback"
215987,"She wrote the 1883 poem that ends ""I lift my lamp beside the golden door"""
34770,"3 Grammys went to Michael Tilson Thomas' album of this composer's ""Rite of Spring"", ""Firebird"" & ""Persephone"""
109548,Abu Dhabi is the largest of the 7 states that make up this Persian Gulf nation
3111,"Go to Flushing Meadows & see the 22,547-capacity stadium named for this man"
176026,"On ""Silver Spoons"" he played Edward Stratton II"
172343,"Gladys Knight & the Pips had a hit with ""I Heard It Through the Grapevine"" before he took it to No. 1"
15706,"1951: ""Stell-lahhhhh!!"""
51776,My Chantilly potatoes are richer than I am; they're made with the heavy type of this
8484,"David Lee Roth, Sammy Hagar, David Lee Roth"
58625,"By atomic number, this noble gas, number 10, is the first whose symbol matches a state postal abbreviation"
162622,M.I.T.'s campus is on the Charles River in this Boston-area city
73383,A young Laura Dern appeared in this 1974 film in which her mom played Flo the waitress
130011,"1,728 cubic inches equals this many cubic feet"
91208,The largest Japanese garden in the U.S. is in this city with the largest arch
210405,This recent presidential candidate was detained for 5 years as a prisoner of war in North Vietnam
193936,1986: Yeltsin is inducted into this national executive & policymaking committee
51241,"The suni, a small one of these graceful African mammals, is barely 15 inches high"
171231,"1857 song that includes the line ""Bells on bob-tail ring"""
140954,"TravelCenters of America has a stop at Exit 48 on I-24, near Music Row in this Tennessee town"
121998,"Stephanotis isn't an old boyfriend you invited, it's something found in a formal one of these"
106831,You probably avoid elevators if you're this type of person who fears being in a closed place
196290,"The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?"""
147319,"Sadly, in a James Fenimore Cooper novel Chingachgook was called ""The Last of"" this group"
1024,This hazard is simply a depression in the ground; if it contains sand it's called a sand trap
110524,In 1969 the feast day of this patron saint of lovers was dropped from the liturgical calendar
80398,"…to Italy, where we tasted tiramisu, which was yummy, & gorgonzola, a type of this, which was yucky!"
6940,"First the ""E""s were sold, then its Houston HQ building was auctioned off in December 2003 for $55.5 million"
64170,"Golden Earring's first Top 40 hit, this ""love"" song cruised to No. 13 in 1974"
158444,"Jim Carrey, Val Kilmer & Tommy Lee Jones appeared on 1995 Corn Pops boxes to promote this ""eternal"" sequel"
114035,These 2 world leaders met in Iceland in 1986 to ease the heat generated by the Cold War
172095,The London grave of this Communist thinker is seen here
46056,"He wrote his first book, ""Is Sex Necessary?"", with this ""Charlotte's Web"" author"
187911,"In Philly in 1974 Dr. Audrey Evans & the Eagles' Fred Hill built this fast-food character's first ""House"""
59204,Total number of quarts in 11 1/2 gallons
82785,"During this decades-long war, Sweden's King Gustavus Adolphus became known as the ""Lion of the North"""
52472,One of the world's largest equine museums is the Kentucky Derby Museum in this city
54938,Living animal that has the largest ears
209552,"In a close nomination race, we learned about these, which include all Dem. congresspeople & governors"
83451,"The Capital Dome seen <a href=""http://www.j-archive.com/media/2007-05-11_J_23.jpg"" target=""_blank"">here</a> covers the room called this"
213265,California Fat's in this state capital isn't named for its caloric content; it's owned by the Fat family
92400,1/4
143810,"December 14, 1799 at his home in Virginia"
49457,"Hey, Simon Baker plays this title crime solver on CBS; sure, he was a fraud in the past, but he gets the job done"
215372,"Warren Buffett's hometown imports this state's traditional dish of poi, blending to become..."
202571,"""Joy of Cooking"" says a well-made one of these is ""the triumph of egg cooking"" & warns that overcooking will deflate it"
167718,The 1947 Labor-Management Relations Act curbed labor's power; these 2 legislators sponsored it
72266,"Besides his heart, this was the other part of E.T. that glowed"
98594,"Played by Al Franken on both TV & film, he was good enough, smart enough & doggone it, people liked him"
121030,Leo & Virgo are both Zodiac signs for this month
148027,"This poet's grandnephew, Greenleaf Whittier Pickard, invented the crystal detector used in radio"
8963,In 1997 a Houston airport was renamed in honor of this recent president
40829,"Writing paper, or standing still"
92790,"He wrote ""The Rime of the Ancient Mariner"" for a book of poetry co-written with William Wordsworth"
70922,"In ""The Fellowship of the Ring"", Gandalf warns this young hobbit to ""keep"" the ring ""safe, and keep it secret!"""
115335,"Of Peter, Paul, or Mary, the one who converted Lydia in the Bible"
176573,Its state flower is the Rocky Mountain Columbine
25930,A blight-resistant purple one of these from Eastern Europe may be a boon to farmers
135255,"Douglas MacArthur said, ""It is fatal to enter any war without the will to"" do this"
143079,"The Trimurti, or trinity of Hindu gods, consists of Brahma, Shiva & this one"
194178,"In an Aesop fable, he talks a lion out of eating him & later repays the favor"
206000,This small U.S. rattlesnake is named for its peculiar way of locomotion through the desert sand
85613,"(<a href=""http://www.j-archive.com/media/2005-07-11_J_29.jpg"" target=""_blank"">Jimmy of the Clue Crew displays some hand-sized robots at Carnegie Mellon University in Pittsburgh, PA.</a>)  These millibots have three basic sections--wheel base, processor and <a href=""http://www.j-archive.com/media/2005-07-11_J_29a.jpg"" target=""_blank"">this board</a> that receives signals and stimuli"
72063,An angle that is less than a right angle; or sharp & severe
81126,"""The Twinkie Defense"" proved surprisingly successful at the trial of this San Francisco assassin"
58431,"It might feel like your arm is going to explode when that rubber cuff is inflated, but the doc is just measuring this"
180916,This synagogue ceremony marking manhood dates to the Middle Ages
193316,"In the presidential election of 1820, this man got 231 electoral votes & Adams got one"
98302,"1974: ""Benji"""
162036,"Gilbert & Sullivan's ""Yeomen of the Guard"" is set in this English landmark"
201047,"On a cloisonne pin, this material is poured into hollows between wires soldered onto metal"
36651,"Until recently, the fourteen families dominated the economy of this smallest mainland New World republic"
97004,He served as both the third U.S. president & the first president of the Confederate States of America
30349,"Years before she became president, Michelle Bachelet of this nation was imprisoned by its Pinochet regime"
78223,This 2004 presidential nominee chairs the Senate Foreign Relations Committee
214983,One of the 3 states with 13 letters in their names
169583,"A schmancy hotel gives us this word for a fancy display that you might ""put on"""
90537,The throwing of rice at these ceremonies is a superstition to ensure prosperity & fertility
170764,I love Dr. Freud for using this term for strong feelings of attachment by a patient toward an analyst
79396,Lake Kawaguchi is famous for its inverted reflection of this peak on its still waters
212718,Peter Pan's flight plan to Never-Never Land
145835,"These half-horse, half-man creatures were notorious for misbehaving at parties"
204745,"It's a hidden advantage you keep ""up your sleeve"""
36192,"Term for an enticing or beckoning ""look"""
156936,"Communities on this ""potent potable"" island N. of Venezuela include Emmastad, Nieuwpoort & Julianadorp"
198788,"Lewis and Clark, Petroleum, Custer"
142563,His wife Florence often consulted a Washington astrologer known as Madame Marcia
177586,This rock seen here makes for a nice set of beads:
69400,"Leviticus 11 says most insects that creep or fly are an abomination, but this 8th plague is kosher"
55228,"This Russian composed the ""Russian Easter Overture"" & ""Scheherazade"" in 1888"
152163,In 1930 Ellen Church was flying high as the first woman to serve the airlines in this capacity
152448,"""Hickory, dickory, dock..."""
169336,"""JTT"" for short, he was the voice of the young Simba in ""The Lion King"""
15050,"In Denver, you can visit the home of Molly Brown, who survived the sinking of this in 1912"
79782,"This Shakespeare play inspired Jose Limon to create ""The Moor's Pavane"", & he danced the lead role himself"
204886,"Per NASA, with 16 participating nations, it's the largest cooperative scientific project in history"
33072,In 1871 telegraph operators honored him with a bronze statue in Central Park
181874,"In 2004 this Santa Clara, Calif. chip giant began shipping 95% lead-free microprocessor packages"
32778,Slang for a cop or someone whose arches are flush with the ground
34341,"What you're ""stuck with"" boiling down collagen, softening it with hot water & letting it swell"
111290,"To astronaut,it's the EV in EVA"
147834,This courageous Nobel Prize-winning nun was born Agnes Gonxha Bojaxhiu in 1910
27878,"Beware: the soup called ""mock"" this is actually made from a calf's head cooked in water"
30950,"Born in Washington in 1942, he's the musician heard <a href=""http://www.j-archive.com/media/2000-11-10_DJ_27.mp3"">here</a>:"
133081,"This ""Necronomicon"" creator wrote of a submarine's discovery of Atlantis in ""The Temple"""
137045,"In March 2007's ""Choosing a Sect"", Noah Feldman studied the USA's feelings with these 2 main Iraqi Muslim sects"
126406,"Ali, Daniel, Mr. Miyagi"
141397,"Moses Malone, Derek Jeter"
77733,"The Southwest's largest Indian tribe, it's noted for its sand painting, a part of the tribe's healing ceremonies"
1963,"The second word in the French name of this boneless steak means ""dainty"""
42914,It's said ancient Romans not only ate these eels but fed their disobedient slaves to them
89610,"A statue known as ""The Strolling Professor"" seems to stroll through the campus of this univ. in Raleigh"
6020,"In this 1866 Dostoevsky novel, a student named Raskolnikov murders an old woman pawnbroker & her sister"
170654,This Canadian province's largest newspaper is the Edmonton Journal
133238,It's exercise like jumping jacks or pushups; drop & give me 20!
159002,The earwig
65018,In 1973 Alan Bean spent nearly 2 months aboard this U.S. space station
101732,"He took a gamble & made his musical debut in this 1955 film, & he did his own singing, too"
199808,"When she's not traveling, she lives at NYC's Plaza Hotel with her nanny, her dog, Weenie, & her turtle, Skipperdee"
135395,Frederick Barbarossa decided to crown his career by leading one of these & died en route
71952,"Buried with wife Marion in Florence--oops, with wife Florence in Marion"
202410,"It's the capital of South Carolina, or a Sony-owned movie company"
101539,"Pele, a Polynesian fire goddess, lives inside one of these; it erupts when she gets angry"
18227,"This river carved a ""water gap"" in the Kittatinny Mountains between New Jersey & Pennsylvania"
59113,"""Every son that is born ye shall cast into the river"" comes from this Old Testament book"
216791,"(<a href=""http://www.j-archive.com/media/2006-09-29_DJ_26.jpg"" target=""_blank"">Jimmy of the Clue Crew is in the yoga studio this time.</a>)  When you need a break from one of yoga's pretzel-like poses, you can rest awhile in balasana, this youthful pose"
134946,"Until the euro debuted there in 2002, a builder would spend guilders to buy girders in this country"
118920,"Now a congressman, John Lewis was a featured speaker at this August 1963 event when he was just 23"
111396,"Having finished with Maybellene, Carol & beautiful Delilah, girl who C. Berry is after next <a href=""http://www.j-archive.com/media/1986-11-14_J_27.mp3"">here<a href=""http://www.j-archive.com/media/1986-11-14_J_27.mp3"">:"
140290,"In 1542 after searching for the seven golden cities of Cibola, he returned to Mexico disappointed"
200902,In the 1990s he was the first Hispanic Secretary of Transportation & Secretary of Energy
75324,"Glossolalia, nonmeaningful speech, is also called speaking in these"
102231,"A substance, such as oil or grease, for lessening friction in the working parts of a mechanism"
127132,This religious reformer of Florence who set up a democratic republic was hanged for his efforts in 1498
169213,The porter & Duncan
204627,This concentration camp in Poland is on the list as evidence of the inhumane nature of the racist Nazi policy
91529,This Ohio town shares its name with Hosea's Old Testament wife & the first name of a TV military hayseed
82945,This company introduced Kleenex in 1924
43385,After it molts this colorful crab is the most popular soft-shell variety in the U.S.
171737,"""Twenty Years After"" was a sequel to this French novel that was published only the year before"
100874,In 1999 voters rejected a proposal for Australia to withdraw from this collective
52336,"Among musicians, a licorice stick is a clarinet & a pretzel is this brass instrument"
151059,"A horn named Olifant, which was sounded too late to help his Frankish forces"
146871,"Magazine names that apply to a charismatic person include Glamour & this one, ""The Beauty Expert"""
113143,An open 4-wheeled horse-drawn carriage with a flexible seat
120782,"This Bronx native designs western-inspired fashions for ladies & for ""chaps"""
172717,BA isn't Bank of America but this plane-making company
109167,"This comedy features a woman named Hero & a hero named Benedick, but it isn't ""Much"""
38662,"They played twins in ""The Last Remake of Beau Geste"""
205026,In 1960 Princess Margaret married this photographer in Westminster Abbey; they were divorced in 1978
59354,"As a sign of respect, this word used as a suffix after a Japanese name should never be used after your own"
186507,The University of Arkansas has a campus in this state capital
171229,"As a child in the early '70s, Jodie Foster played Eddie's pal Joey on this Bill Bixby series"
94049,The Windows & The Garden of Eden are found in this state's Arches National Park
208869,"This late jazz bassist who also backed Joni Mitchell was a true ""Jaco"" all trades"
50089,This steel man who gave away $350 million gave away his daughter Margaret at her 1919 wedding
47981,"Dialogue in the movie ""The Producers"" inspired the title of this 1991 U2 album"
67541,This woman's patriotism is legendary
5800,"(<a href=""http://www.j-archive.com/media/2010-01-11_DJ_26.jpg"" target=""_blank"">Kelly of the Clue Crew shows some characters on the monitor.</a>)  In international Morse code, developed because of the limitations of American Morse code, the ""U"" is dot dot dash, and a ""U"" with one of <a href=""http://www.j-archive.com/media/2010-01-11_DJ_26a.jpg"" target=""_blank"">these</a> marks is dot dot dash dash"
175303,"I heard the gravy train a-comin' in 1968 when I recorded these ""blues"", a No. 1 country hit, at the title place"
72856,"During WWI John Pershing commanded the AEF, short for this"
143897,"A pleasure carriage with a raised driver’s seat, or the 19th century British queen for whom it was named"
45212,This quick bread takes its name from the Stone of Destiny
100441,William Golding novel in which English school boys stranded on an island turn savage
204187,"Michael made 3 ""Back to the Future"" films as this chronologically challenged character"
117153,"He cast a ""legion"" of demons from a madman & put an end to his howling & raging"
213618,(Jimmy of the Clue Crew)  The inscribed names of Yale students killed in wars partly inspired this Yale grad to create a famous memorial
207873,"At Karachi National Stadium, you can cheer on heroes of this sport, including Hanif Mohammad & Shahid Khan Afridi"
107750,A 7 & 7 cocktail gets its name from these 2 ingredients
16777,Water freezes into ice at 32 degrees Fahrenheit & this many degrees Celsius
173890,"A N.Y. senator from 1977 to 2001, he was Assistant Secretary of Labor under LBJ & Ambassador to India under Nixon"
185908,"He said, ""If I be shaven, then my strength will go from me, and I shall become weak"""
93273,A toll-free hotline for whistle-blowers is maintained by this agency in charge of federal b'ldgs
82848,"Shrines of this religion have two main parts:  the haiden, open to visitors, & the honden, closed to laymen"
90997,Comic Carlos Alazraqui is the voice of the chihuahua that's the voice of this fast-food chain
6263,Several different islands choose their own kings & queens as part of this state's Aloha festivals
90811,The Superdome
33533,Democratic state senators fled this state to stall Gov. Walker's union-busting budget bill
27005,This country's largest university is the University of Helsinki
167926,"President, 1993-today"
3085,"1984's ""Jump"" was the first No. 1 hit for this group that features brothers Alex & Eddie"
174903,"Longtime Chicago Bear Harold ""Red"" Grange was also known by this ""spectral"" nickname"
193401,Uh oh!  This outer nonvascular layer of your skin is showing
211635,In the pair of men who published the first of their famous namesake dictionaries in 1893
165245,"This Daniel Defoe character was born in the year 1632 in the city of York, of a good family"
144628,"Author of ""The House of the Seven Gables"", his son Julian published a biography of him in 1884"
209092,"As a diamond, this element melts at about 6500 degrees F.; as graphite, it changes directly to a gas"
11738,Learn all about Islam at Al-Azhar University in this Egyptian city
45248,"""I Heard It Through The Grapevine"" that he was once a session drummer for Smokey Robinson"
101612,"It's the Gilbert & Sullivan comic opera where an old major general sings his ""modern"" song"
15067,"In the 2009 movie, he played Captain Kirk"
183249,"If Marie Antoinette & her 15 siblings each want 2 pieces of cake, cut it into this many slices"
186902,If you crave Craisins you know that they're sweetened & dried these
34440,Wyborowa is a popular Polish brand of this liquor also associated with Russia
105732,He spent 13 years as a lineman for the NFL's Raiders & has been with Fox Sports the last 6
16907,"In Roman mythology, this god of fire's blacksmith shops were located under Mount Etna"
41862,"(<a href=""http://www.j-archive.com/media/2007-11-16_DJ_23.jpg"" target=""_blank"">Jon of the Clue Crew sits at the kit.</a>)  The use of the floor tom was popularized by <a href=""http://www.j-archive.com/media/2007-11-16_DJ_23a.jpg"" target=""_blank"">this</a> drummer, especially with Benny Goodman on ""Sing, Sing, Sing"""
2490,"In nat. selection, a ref froggus trebekus has .5 relative fitness if it produces 1/2 as many of these as a pink one"
49358,This John Updike novel of 1984 had women set for a spell in New England
76780,The future Louis XI feuded with his father while holding this French title as heir apparent
66919,Millions in Asia are at risk from high arsenic levels in this: the EPA's new limit is 10 parts per billion
134870,"Nicknamed ""Stormin' Norman"", he wrote the 1992 memoir ""It Doesn't Take A Hero"""
16796,"Put this letter on ""ice"" & you get a grain grown in paddies"
42697,Faith Ford & Kelly Ripa
176736,"This Southern state has the lowest high point of any state, 345 feet"
213720,This country consists of a Muslim-Croat federation & a Serb republic
54400,"He was the ""I"" in ""I Love Lucy"""
148960,"""Colorful"" schoolyard chain game in which one team might chant, ""Send Alex right over"""
186113,"A sinister presence at court is <a href=""http://www.j-archive.com/media/2009-04-02_DJ_01.wmv"">Sir Francis Bryan</a> who lost that eye in one of these sporting events"
193056,"This heiress said, ""Having a nightclub in your house really helps for having a party""; that's hot"
91099,Helen of Troy was the sister of these twins
145092,"<a href=""http://www.j-archive.com/media/2004-10-28_DJ_02.jpg"" target=""_blank"">Seen</a> <a href=""http://www.j-archive.com/media/2004-10-28_DJ_02a.jpg"" target=""_blank"">here</a> is one of many denizens of the American West depicted by this man"
23518,Road Town is not only the capital but the only urban area in this British island group
176606,Clark Gable proposed to Carole Lombard in booth 54 of this old Hollywood landmark
198896,"Justin Berfield is actually younger than Frankie Muniz, but he played his older brother Reese on this sitcom"
185858,302-AM is an application for a broadcast station license with this agency
155802,Muscles used to move a limb away from the central line of the body
161346,"From work using hypothermia for heart surgery, Wilfred Bigelow helped develop this implanted stimulator"
119209,"""You'll come runnin' back, you'll come runnin' back, you'll come runnin' back to me"""
183687,"I have $1,200 for knowing this term, also a type of bridge card game...$1,200 once! twice! sold!"
116409,The 2 instruments associated with the Smothers Brothers
78502,The first U.S. stamp bore portraits of George Washington & this first postmaster general
4336,Bruce Dickinson was the lead singer of this British heavy metal band
126049,Leuco-
216691,"In the Harry Potter world, Parseltongue is the language of these; Salazar Slytherin was a noted speaker"
80607,"(<a href=""http://www.j-archive.com/media/2001-10-31_DJ_18.jpg"" target=""_blank"">Sarah of the Clue Crew gets down with a robot dog.</a>)  A marvel of modern engineering, this Sony product is very interactive--let's dance!"
48974,Can you hear me now?  In 2005 this company was No. 14 on the Fortune 500
78601,"A meat-filled tortilla in a chili sauce, its name is from the Spanish for ""to season with chili"""
172190,The high islands like Viti Levu in the Fiji group & Kao in the Tonga group were formed by these
96893,"Streep mastered a Danish accent, but Robert Redford's British accent was vetoed for this 1985 Oscar winner"
23873,"On July 4, 1982 Miguel de la Madrid Hurtado was elected president of this North American country"
176102,"Thinking this man is the king, Hamlet kills him in Act III, Scene iv"
29345,Shoshone Falls in Idaho lies on this winding river
106115,"(<a href=""http://www.j-archive.com/media/2011-03-08_DJ_14.wmv"">Kelly of the Clue Crew shows an animated car chase on the monitor.</a>)  A police cruiser's right front bumper nudges a fleeing suspect's left rear to induce a stop using the PIT maneuver, PIT short for this intervention technique"
116618,"It's the instrument heard <a href=""http://www.j-archive.com/media/2008-02-13_DJ_12.mp3"">here</a>"
127096,In 1999 the U.S. women's soccer team won its first World Cup when it defeated this country's team in the finals
167052,"Fans of computer flight simulations are ecstatic about this type of controller, developed for the lunar rover"
173027,Civil War field medicine created many veterans addicted to this class of drug that includes morphine
